                        นปุเรชาตมูลกนัย
     [๑๐๓๘] ในเหตุปัจจัย กับปัจจัยที่ไม่ใช่ปุเรชาตปัจจัย มีวาระ ๗
            ในอารัมมณปัจจัย           กับ     ฯลฯ      มีวาระ ๙
            ในอธิปติปัจจัย             กับ     ฯลฯ      มี "   ๑๐
            ในอนันตรปัจจัย            กับ     ฯลฯ      มี "   ๗
            ในสมนันตรปัจจัย           กับ     ฯลฯ      มี "   ๗
            ในสหชาตปัจจัย            กับ     ฯลฯ      มี "   ๙
            ในอัญญมัญญปัจจัย           กับ     ฯลฯ      มี "   ๓
            ในนิสสยปัจจัย             กับ     ฯลฯ      มี "   ๙
            ในอุปนิสสยปัจจัย           กับ     ฯลฯ      มี "   ๙
            ในปัจฉาชาตปัจจัย          กับ     ฯลฯ      มี "   ๓
            ในอาเสวนปัจจัย           กับ     ฯลฯ      มี "   ๓
            ในกัมมปัจจัย              กับ     ฯลฯ      มี "   ๗
            ในวิปากปัจจัย             กับ     ฯลฯ      มี "   ๑
            ในอาหารปัจจัย            กับ     ฯลฯ      มี "   ๗
            ในอินทริยปัจจัย            กับ     ฯลฯ      มี "   ๗
            ในฌานปัจจัย              กับ     ฯลฯ      มี "   ๗
            ในมัคคปัจจัย              กับ     ฯลฯ      มี "   ๗
            ในสัมปยุตตปัจจัย           กับ     ฯลฯ      มี "   ๓
            ในวิปปยุตตปัจจัย           กับ     ฯลฯ      มี "   ๓
            ในอัตถิปัจจัย              กับ     ฯลฯ      มี "   ๙
            ในนัตถิปัจจัย              กับ     ฯลฯ      มี "   ๗
            ในวิคตปัจจัย              กับ     ฯลฯ      มี "   ๗
            ในอวิคตปัจจัย             กับ     ฯลฯ      มี "   ๙
