            ในมัคคปัจจัย                    กับ   ฯลฯ   มีวาระ ๒
            ในสัมปยุตตปัจจัย                 กับ   ฯลฯ   มี "   ๒
            ในวิปปยุตตปัจจัย                 กับ   ฯลฯ   มี "   ๒
            ในอัตถิปัจจัย                    กับ   ฯลฯ   มี "   ๒
            ในนัตถิปัจจัย                    กับ   ฯลฯ   มี "   ๒
            ในวิคตปัจจัย                    กับ   ฯลฯ   มี "   ๒
            ในอวิคตปัจจัย                   กับ   ฯลฯ   มี "   ๒
     [๑๒๖๗] ในเหตุปัจจัย                    กับวิปากปัจจัย มีวาระ ๙
            ในอารัมมณปัจจัย                 กับ   ฯลฯ   มี "   ๓
            ในอธิปติปัจจัย                   กับ   ฯลฯ   มี "   ๕
            ในอนันตรปัจจัย                  กับ   ฯลฯ   มี "   ๓
            ในสมนันตรปัจจัย                 กับ   ฯลฯ   มี "   ๓
            ในสหชาตปัจจัย                  กับ   ฯลฯ   มี "   ๙
            ในอัญญมัญญปัจจัย                 กับ   ฯลฯ   มี "   ๖
            ในนิสสยปัจจัย                   กับ   ฯลฯ   มี "   ๙
            ในอุปนิสสยปัจจัย                 กับ   ฯลฯ   มี "   ๓
            ในปุเรชาตปัจจัย                 กับ   ฯลฯ   มี "   ๑
            ในกัมมปัจจัย                    กับ   ฯลฯ   มี "   ๙
            ในอาหารปัจจัย                  กับ   ฯลฯ   มี "   ๙
            ในอินทริยปัจจัย                  กับ   ฯลฯ   มี "   ๙
            ในฌานปัจจัย                    กับ   ฯลฯ   มี "   ๙
            ในมัคคปัจจัย                    กับ   ฯลฯ   มี "   ๙
            ในสัมปยุตตปัจจัย                 กับ   ฯลฯ   มี "   ๓
            ในวิปปยุตตปัจจัย                 กับ   ฯลฯ   มี "   ๙
            ในอัตถิปัจจัย                    กับ   ฯลฯ   มี "   ๙
            ในนัตถิปัจจัย                    กับ   ฯลฯ   มี "   ๓
